firm,posture,T,C,aipdi,geometric,p05,p95,single_provider_concentration,no_abstraction_layer,prompt_tool_nonportability,finetuning_lockin,data_embeddings_lockin,no_open_weight_fallback,sla_criticality,ai_share_of_value,weak_moat,margin_exposure,sherlocking_exposure,contractual_lockin
Perplexity,M,12.4,33.6,46.0,57.8,43,49,0.3,0.2,0.3,0.2,0.2,0.1,0.4,0.9,0.5,0.5,0.9,0.3
Cognition (Devin),M,16.3,33.3,49.6,62.7,46,53,0.4,0.2,0.4,0.1,0.2,0.25,0.7,0.95,0.5,0.5,0.85,0.2
Sierra,M,22.3,33.7,56.0,65.2,53,59,0.45,0.25,0.4,0.5,0.35,0.4,0.8,0.95,0.45,0.5,0.7,0.7
Lovable,M,25.4,40.0,65.3,73.2,63,67,0.55,0.35,0.5,0.3,0.4,0.6,0.85,0.95,0.7,0.7,0.85,0.7
Clay,M,21.5,25.5,47.0,48.9,45,49,0.5,0.3,0.4,0.3,0.3,0.6,0.6,0.7,0.35,0.5,0.5,0.4
Rogo,M,30.6,31.4,62.0,67.6,59,65,0.75,0.35,0.55,0.85,0.4,0.6,0.75,0.9,0.4,0.5,0.7,0.5
Khan Academy (Khanmigo),S,33.5,33.3,66.8,72.8,64,70,0.9,0.7,0.6,0.4,0.4,0.8,0.8,0.9,0.45,0.7,0.7,0.4
Writer,O,9.5,26.2,35.7,45.4,33,39,0.15,0.2,0.15,0.15,0.25,0.1,0.35,0.9,0.35,0.4,0.5,0.15
Suno,O,7.6,29.2,36.8,51.2,34,40,0.1,0.2,0.1,0.1,0.2,0.1,0.3,0.95,0.45,0.5,0.5,0.2
Character.AI,O,8.3,35.3,43.6,57.9,42,46,0.1,0.2,0.1,0.1,0.25,0.15,0.3,0.95,0.5,0.75,0.6,0.65
